수출입 통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,수입국,수입액(천$),수출액(천$),무역수지(천$),상대국의 한국수입신고금(천$),對한국수입비중,수입 연평균증가율(최근6년),수입 연평균증가율(최근3년),수입 점유율(세계시장),한국의 상대국수출신고금(천$),수입국1,수입국2,수입국3,수입국4,수입국5,수입국6,수입국7,수입국8,수입국9,수입국10,수입국11,수입국12,수입국13,수입국14,수입국15,수입국16,수입국17,수입국18,수입국19,수입국20,수입국21,수입국22,수입국23,수입국24,수입국25,수입국26,수입국27,수입국28,수입국29,수입국30,2024 - 수입금액(천$),2024 - 수입 증가율(%),2024 - 수출액(천$),2024 - 수출 증가율(%),2023 - 수입금액(천$),2023 - 수입 증가율(%),2023 - 수출액(천$),2023 - 수출 증가율(%),2022 - 수입금액(천$),2022 - 수입 증가율(%),2022 - 수출액(천$),2022 - 수출 증가율(%)
-,한국,"568,530","885,956","317,426",-,-,17.2,24.0,1.2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전체,-,"45,966,653","45,928,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,미국,"8,124,764","2,682,630","-5,442,134","262,207",3.2,6.8,2.6,17.7,"183,957","멕시코(3,303,397)","중국(1,863,103)","인도(450,393)","일본(319,955)","독일(298,542)","한국(262,207)","캐나다(198,655)","이탈리아(196,488)","튀르키예(87,981)","브라질(77,161)","폴란드(67,918)","베트남(57,828)","영국(45,271)","체코(35,672)","스페인(34,215)","대만(26,706)","스웨덴(25,029)","슬로바키아(18,964)","루마니아(15,378)","태국(14,026)","스위스(9,714)","프랑스(8,028)","필리핀(4,853)","몰타(3,685)","말레이시아(3,631)","헝가리(3,568)","인도네시아(3,392)","콜롬비아(2,402)","덴마크(1,964)","벨기에(1,461)","8,124,764",2.4,"2,682,630",-6.1,"7,934,649",2.9,"2,858,029",15.5,"7,713,248",26.5,"2,475,332",11.3
2,독일,"4,529,523","5,132,536","603,013","13,041",0.3,5.3,6.8,9.9,"9,896","폴란드(864,639)","체코(810,252)","이탈리아(757,234)","중국(610,036)","스페인(269,913)","슬로바키아(232,506)","영국(172,345)","프랑스(157,336)","루마니아(92,407)","인도(72,820)","스웨덴(70,874)","튀르키예(59,790)","스위스(50,079)","헝가리(49,643)","미국(40,414)","덴마크(38,639)","일본(31,808)","네덜란드(29,404)","멕시코(24,578)","오스트리아(20,377)","벨기에(16,981)","한국(13,041)","슬로베니아(10,524)","포르투갈(6,809)","브라질(4,159)","태국(4,033)","보스니아 헤르체고비나(3,608)","대만(2,130)","오만(1,824)","이집트(1,313)","4,529,523",4.4,"5,132,536",-1.9,"4,337,215",9.3,"5,233,980",9.6,"3,968,466",9.3,"4,777,689",0.1
3,멕시코,"3,287,572","4,656,899","1,369,327","113,729",3.5,8.4,6.9,7.2,"88,591","미국(1,511,417)","중국(684,780)","이탈리아(120,288)","한국(113,729)","인도(91,829)","독일(73,940)","캐나다(69,048)","일본(61,247)","스페인(40,081)","폴란드(37,998)","브라질(31,278)","체코(24,306)","태국(15,735)","프랑스(14,707)","슬로바키아(10,474)","스웨덴(9,359)","베트남(9,020)","대만(8,904)","튀르키예(7,254)","영국(7,144)","루마니아(6,155)","헝가리(6,039)","스위스(3,913)","말레이시아(2,784)","홍콩(2,234)","덴마크(2,127)","포르투갈(1,938)","보스니아 헤르체고비나(1,648)",인도네시아(721),오스트리아(174),"3,287,572",-2.6,"4,656,899",0.9,"3,373,787",17.2,"4,613,084",10.3,"2,877,753",23.1,"4,180,416",21.0
4,영국,"2,252,787","1,242,581","-1,010,206","6,516",0.3,11.2,32.2,4.9,"40,403","독일(291,054)","중국(287,350)","이탈리아(155,914)","폴란드(148,522)","스페인(98,252)","체코(68,764)","프랑스(67,938)","슬로바키아(37,324)","인도(34,833)","튀르키예(25,636)","루마니아(20,114)","헝가리(19,211)","일본(17,518)","미국(13,621)","대만(11,272)","영국(9,756)","벨기에(8,977)","덴마크(8,056)","한국(6,516)","태국(5,766)","스웨덴(5,489)","멕시코(3,473)","오만(3,163)","스위스(2,804)","베트남(1,576)","아일랜드(1,513)","캐나다(1,187)",오스트리아(810),튀니지(786),네덜란드(784),"2,252,787",2.5,"1,242,581",-5.1,"2,197,639",70.4,"1,308,920",72.5,"1,289,759",5.1,"758,971",-3.7
5,중국,"1,759,385","9,768,726","8,009,341","45,697",2.6,6.5,20.8,3.8,"41,072","독일(603,073)","일본(240,319)","이탈리아(82,725)","미국(80,424)","체코(50,052)","한국(45,697)","멕시코(40,109)","폴란드(37,355)","슬로바키아(28,330)","스페인(28,014)","스위스(20,459)","영국(17,936)","헝가리(14,737)","프랑스(14,735)","루마니아(14,635)","홍콩(13,894)","인도(13,358)","튀르키예(8,503)","태국(4,614)","대만(4,250)","오스트리아(3,269)","중국(3,135)","캐나다(2,401)","스웨덴(2,126)","보스니아 헤르체고비나(2,090)","브라질(1,693)",벨기에(767),러시아연방(435),말레이시아(382),필리핀(346),"1,759,385",12.1,"9,768,726",6.9,"1,569,986",30.1,"9,140,311",19.7,"1,206,353",-6.9,"7,634,206",22.2
6,캐나다,"1,586,952","258,078","-1,328,874","16,305",1.0,0.6,2.7,3.5,"8,759","미국(665,808)","중국(368,121)","멕시코(206,560)","일본(110,889)","독일(53,780)","인도(37,079)","한국(16,305)","이탈리아(11,581)","캐나다(11,259)","폴란드(9,845)","튀르키예(7,046)","영국(5,328)","필리핀(4,842)","스페인(3,894)","프랑스(3,567)","브라질(2,775)","체코(2,385)","대만(2,154)","호주(1,393)","루마니아(1,345)","베트남(1,306)","스웨덴(1,012)",콜롬비아(787),덴마크(437),탄자니아(332),네덜란드(280),태국(270),슬로바키아(250),스위스(179),싱가포르(177),"1,586,952",-4.9,"258,078",-9.3,"1,668,265",10.8,"284,559",-11.3,"1,505,583",22.3,"320,910",13.6
7,폴란드,"1,553,742","2,488,708","934,965","11,318",0.7,8.5,11.4,3.4,"11,495","독일(464,610)","중국(326,803)","이탈리아(229,232)","스페인(121,762)","체코(70,044)","슬로바키아(52,417)","프랑스(43,405)","튀르키예(40,616)","인도(37,092)","헝가리(24,500)","영국(21,462)","루마니아(15,616)","덴마크(14,866)","네덜란드(14,701)","한국(11,318)","벨기에(10,710)","말레이시아(6,397)","미국(5,178)","스웨덴(5,154)","그리스(3,954)","일본(3,709)","리투아니아(2,855)","포르투갈(2,357)","오스트리아(2,039)","호주(1,172)","스위스(1,145)","크로아티아(1,078)","라트비아(1,063)","멕시코(1,032)",슬로베니아(708),"1,553,742",3.4,"2,488,708",5.5,"1,503,134",20.1,"2,358,552",28.5,"1,251,186",7.7,"1,835,466",6.5
8,프랑스,"1,476,125","1,154,439","-321,686","2,997",0.2,1.4,4.4,3.2,"3,196","독일(278,873)","이탈리아(220,227)","폴란드(171,393)","중국(165,298)","스페인(142,271)","체코(96,225)","영국(74,784)","포르투갈(51,510)","인도(37,056)","헝가리(33,565)","벨기에(31,200)","일본(27,489)","튀르키예(26,883)","루마니아(18,286)","슬로바키아(17,671)","네덜란드(14,740)","기타국(13,225)","스웨덴(10,641)","덴마크(7,867)","프랑스(7,585)","오만(6,938)","미국(4,757)","오스트리아(3,519)","한국(2,997)","모로코(2,064)","튀니지(1,245)","대만(1,222)",멕시코(934),베트남(788),브라질(693),"1,476,125",-1.9,"1,154,439",3.1,"1,505,181",11.1,"1,119,792",7.1,"1,355,012",-0.6,"1,045,358",-13.0
9,체코,"1,242,105","1,545,665","303,560","21,853",1.8,1.8,7.7,2.7,"15,006","독일(275,665)","슬로바키아(192,208)","폴란드(188,252)","이탈리아(171,883)","중국(81,068)","스페인(74,010)","프랑스(35,067)","헝가리(28,651)","인도(25,217)","영국(24,370)","한국(21,853)","오만(20,877)","일본(11,741)","루마니아(10,678)","멕시코(10,508)","벨기에(9,245)","튀르키예(9,170)","기타국(7,835)","덴마크(6,609)","오스트리아(4,669)","스위스(3,402)","대만(3,355)","스웨덴(3,148)","네덜란드(2,604)","미국(1,035)",베트남(707),태국(313),크로아티아(213),리투아니아(212),캐나다(192),"1,242,105",3.2,"1,545,665",1.8,"1,203,231",12.4,"1,518,903",13.5,"1,070,119",-1.4,"1,338,789",-4.4
10,튀르키예,"1,074,572","800,340","-274,232","14,903",1.4,12.8,37.0,2.3,"12,108","중국(103,783)","이탈리아(85,002)","스페인(80,764)","독일(77,140)","폴란드(68,924)","인도(68,299)","프랑스(51,514)","체코(31,228)","한국(14,903)","루마니아(12,341)","슬로바키아(8,990)","포르투갈(7,305)","영국(6,215)","헝가리(5,777)","일본(5,625)","미국(4,615)","멕시코(3,869)","스위스(2,030)","스웨덴(1,747)","태국(1,732)","튀니지(1,722)",브라질(865),그리스(487),우크라이나(483),대만(463),오스트리아(407),보스니아 헤르체고비나(395),호주(373),말레이시아(345),러시아연방(293),"1,074,572",-1.2,"800,340",2.5,"1,088,034",89.9,"781,078",50.4,"572,828",-2.4,"519,170",17.7
11,이탈리아,"1,075,803","2,490,748","1,414,945","1,725",0.2,1.9,-1.1,2.3,"1,740","독일(380,356)","중국(268,463)","폴란드(135,608)","체코(71,118)","스페인(35,242)","영국(24,571)","프랑스(22,392)","스웨덴(21,486)","튀르키예(17,642)","덴마크(16,422)","벨기에(12,657)","슬로바키아(12,234)","인도(9,190)","멕시코(8,524)","네덜란드(8,454)","오스트리아(5,143)","헝가리(5,063)","미국(3,491)","슬로베니아(3,159)","크로아티아(3,106)","그리스(2,213)","루마니아(2,003)","한국(1,725)","스위스(1,096)",튀니지(905),모로코(674),리투아니아(461),대만(376),베트남(335),일본(322),"1,075,803",-2.6,"2,490,748",0.1,"1,104,108",0.4,"2,488,022",13.2,"1,099,463",7.2,"2,198,378",-0.1
